state,week_number,forecast_date,predicted_sales,model_used
Alabama,1,2023-12-16,213083259.92829117,LSTM
Alabama,2,2023-12-23,216024255.8406196,LSTM
Alabama,3,2023-12-30,218586504.88199297,LSTM
Alabama,4,2024-01-06,220970538.77893728,LSTM
Alabama,5,2024-01-13,223256113.60906884,LSTM
Alabama,6,2024-01-20,225476038.9815682,LSTM
Alabama,7,2024-01-27,227640445.05226526,LSTM
Alabama,8,2024-02-03,229746111.33878425,LSTM
Arizona,1,2023-12-16,226165186.8225923,LSTM
Arizona,2,2023-12-23,227374299.56502548,LSTM
Arizona,3,2023-12-30,228331055.51017612,LSTM
Arizona,4,2024-01-06,229210508.6115099,LSTM
Arizona,5,2024-01-13,230061308.29768884,LSTM
Arizona,6,2024-01-20,230906777.8671817,LSTM
Arizona,7,2024-01-27,231760145.7004912,LSTM
Arizona,8,2024-02-03,232628817.42943725,LSTM
Arkansas,1,2023-12-16,106398408.0,XGBoost
Arkansas,2,2023-12-23,102521592.0,XGBoost
Arkansas,3,2023-12-30,109092248.0,XGBoost
Arkansas,4,2024-01-06,110555304.0,XGBoost
Arkansas,5,2024-01-13,230832448.0,XGBoost
Arkansas,6,2024-01-20,170836496.0,XGBoost
Arkansas,7,2024-01-27,126725536.0,XGBoost
Arkansas,8,2024-02-03,154702176.0,XGBoost
California,1,2023-12-16,924892590.6591456,LSTM
California,2,2023-12-23,937404548.976789,LSTM
California,3,2023-12-30,948428018.5623419,LSTM
California,4,2024-01-06,958398198.2331822,LSTM
California,5,2024-01-13,967579009.6614456,LSTM
California,6,2024-01-20,976102306.1356562,LSTM
California,7,2024-01-27,984025425.8605183,LSTM
California,8,2024-02-03,991367665.9381511,LSTM
Colorado,1,2023-12-16,185351662.40268335,LSTM
Colorado,2,2023-12-23,188177660.86541712,LSTM
Colorado,3,2023-12-30,190778751.43525988,LSTM
Colorado,4,2024-01-06,193283160.88552618,LSTM
Colorado,5,2024-01-13,195742907.9992301,LSTM
Colorado,6,2024-01-20,198178547.92434737,LSTM
Colorado,7,2024-01-27,200591853.52661806,LSTM
Colorado,8,2024-02-03,202971304.33329707,LSTM
Connecticut,1,2023-12-16,90001383.92086609,LSTM
Connecticut,2,2023-12-23,90335101.08776045,LSTM
Connecticut,3,2023-12-30,90697165.34012337,LSTM
Connecticut,4,2024-01-06,91075122.24674274,LSTM
Connecticut,5,2024-01-13,91475626.0232241,LSTM
Connecticut,6,2024-01-20,91901956.15655246,LSTM
Connecticut,7,2024-01-27,92354979.34561156,LSTM
Connecticut,8,2024-02-03,92833355.85806096,LSTM
Florida,1,2023-12-16,750305447.6048945,LSTM
Florida,2,2023-12-23,752135025.097897,LSTM
Florida,3,2023-12-30,751959140.2583913,LSTM
Florida,4,2024-01-06,751896190.2578027,LSTM
Florida,5,2024-01-13,752258056.212106,LSTM
Florida,6,2024-01-20,752985815.5966485,LSTM
Florida,7,2024-01-27,753983360.6979988,LSTM
Florida,8,2024-02-03,755173507.4225345,LSTM
Georgia,1,2023-12-16,392068426.94459033,LSTM
Georgia,2,2023-12-23,396273677.9825323,LSTM
Georgia,3,2023-12-30,400066217.1245145,LSTM
Georgia,4,2024-01-06,403843541.1454249,LSTM
Georgia,5,2024-01-13,407652518.1761998,LSTM
Georgia,6,2024-01-20,411491147.32420516,LSTM
Georgia,7,2024-01-27,415342323.73643684,LSTM
Georgia,8,2024-02-03,419178187.76198256,LSTM
Illinois,1,2023-12-16,338495334.6357999,LSTM
Illinois,2,2023-12-23,343400589.3820246,LSTM
Illinois,3,2023-12-30,347722865.8176993,LSTM
Illinois,4,2024-01-06,351832565.9021151,LSTM
Illinois,5,2024-01-13,355857113.2497003,LSTM
Illinois,6,2024-01-20,359842523.8291886,LSTM
Illinois,7,2024-01-27,363797294.81110346,LSTM
Illinois,8,2024-02-03,367707622.5362723,LSTM
Indiana,1,2023-12-16,233017274.03712875,LSTM
Indiana,2,2023-12-23,236084499.273687,LSTM
Indiana,3,2023-12-30,238799471.0976119,LSTM
Indiana,4,2024-01-06,241344442.11604893,LSTM
Indiana,5,2024-01-13,243791979.4517847,LSTM
Indiana,6,2024-01-20,246174499.1620027,LSTM
Indiana,7,2024-01-27,248504341.77108485,LSTM
Indiana,8,2024-02-03,250781692.79018188,LSTM
Iowa,1,2023-12-16,113801986.37035765,LSTM
Iowa,2,2023-12-23,113703381.49728414,LSTM
Iowa,3,2023-12-30,113499599.22005442,LSTM
Iowa,4,2024-01-06,113319004.66341627,LSTM
Iowa,5,2024-01-13,113172143.46405874,LSTM
Iowa,6,2024-01-20,113053110.9107776,LSTM
Iowa,7,2024-01-27,112956454.55013442,LSTM
Iowa,8,2024-02-03,112879088.8852222,LSTM
Kansas,1,2023-12-16,96037250.39964594,LSTM
Kansas,2,2023-12-23,97582087.9066608,LSTM
Kansas,3,2023-12-30,99024434.02049254,LSTM
Kansas,4,2024-01-06,100374152.03980418,LSTM
Kansas,5,2024-01-13,101663926.487001,LSTM
Kansas,6,2024-01-20,102913661.73582019,LSTM
Kansas,7,2024-01-27,104131996.40298127,LSTM
Kansas,8,2024-02-03,105319812.78622843,LSTM
Kentucky,1,2023-12-16,182772509.12968615,LSTM
Kentucky,2,2023-12-23,186167665.80671147,LSTM
Kentucky,3,2023-12-30,189373768.48094827,LSTM
Kentucky,4,2024-01-06,192447349.61016026,LSTM
Kentucky,5,2024-01-13,195414334.58682138,LSTM
Kentucky,6,2024-01-20,198282375.17725405,LSTM
Kentucky,7,2024-01-27,201045392.75788313,LSTM
Kentucky,8,2024-02-03,203686863.03729185,LSTM
Louisiana,1,2023-12-16,185522190.74967346,LSTM
Louisiana,2,2023-12-23,186344701.81685537,LSTM
Louisiana,3,2023-12-30,187022559.43933803,LSTM
Louisiana,4,2024-01-06,187780959.76597348,LSTM
Louisiana,5,2024-01-13,188610526.14451334,LSTM
Louisiana,6,2024-01-20,189499586.66430077,LSTM
Louisiana,7,2024-01-27,190441046.8902549,LSTM
Louisiana,8,2024-02-03,191428477.49058387,LSTM
Maine,1,2023-12-16,49730548.3779025,LSTM
Maine,2,2023-12-23,50301108.645988755,LSTM
Maine,3,2023-12-30,50816948.61208053,LSTM
Maine,4,2024-01-06,51279403.694166966,LSTM
Maine,5,2024-01-13,51692796.82626564,LSTM
Maine,6,2024-01-20,52061459.32017323,LSTM
Maine,7,2024-01-27,52388648.45640528,LSTM
Maine,8,2024-02-03,52676545.80864044,LSTM
Maryland,1,2023-12-16,178004713.17712486,LSTM
Maryland,2,2023-12-23,182520288.28075024,LSTM
Maryland,3,2023-12-30,187010803.51813018,LSTM
Maryland,4,2024-01-06,191318067.0687378,LSTM
Maryland,5,2024-01-13,195425417.63035393,LSTM
Maryland,6,2024-01-20,199334756.76464483,LSTM
Maryland,7,2024-01-27,203031822.75911313,LSTM
Maryland,8,2024-02-03,206481425.40411243,LSTM
Massachusetts,1,2023-12-16,186112273.68936402,LSTM
Massachusetts,2,2023-12-23,187001885.88951,LSTM
Massachusetts,3,2023-12-30,187596967.2166299,LSTM
Massachusetts,4,2024-01-06,188197505.188437,LSTM
Massachusetts,5,2024-01-13,188860023.73512688,LSTM
Massachusetts,6,2024-01-20,189601487.7121633,LSTM
Massachusetts,7,2024-01-27,190427820.74554905,LSTM
Massachusetts,8,2024-02-03,191339137.981362,LSTM
Michigan,1,2023-12-16,318978314.93663204,LSTM
Michigan,2,2023-12-23,326025325.1486154,LSTM
Michigan,3,2023-12-30,332690558.4476219,LSTM
Michigan,4,2024-01-06,338879436.9675395,LSTM
Michigan,5,2024-01-13,344643199.8401943,LSTM
Michigan,6,2024-01-20,349994863.12524086,LSTM
Michigan,7,2024-01-27,354901216.2742736,LSTM
Michigan,8,2024-02-03,359299489.28803855,LSTM
Minnesota,1,2023-12-16,156660712.88314143,LSTM
Minnesota,2,2023-12-23,157282846.2200189,LSTM
Minnesota,3,2023-12-30,157789727.35356995,LSTM
Minnesota,4,2024-01-06,158278400.89148146,LSTM
Minnesota,5,2024-01-13,158780534.13775235,LSTM
Minnesota,6,2024-01-20,159308427.43291768,LSTM
Minnesota,7,2024-01-27,159867082.6210192,LSTM
Minnesota,8,2024-02-03,160458040.00502333,LSTM
Mississippi,1,2023-12-16,112886178.36210322,LSTM
Mississippi,2,2023-12-23,111658973.6236124,LSTM
Mississippi,3,2023-12-30,109992609.03337216,LSTM
Mississippi,4,2024-01-06,108378840.62325585,LSTM
Mississippi,5,2024-01-13,106883090.50363708,LSTM
Mississippi,6,2024-01-20,105486731.47735322,LSTM
Mississippi,7,2024-01-27,104162266.72316897,LSTM
Mississippi,8,2024-02-03,102887694.83765602,LSTM
Missouri,1,2023-12-16,187963017.364102,LSTM
Missouri,2,2023-12-23,187059898.3632741,LSTM
Missouri,3,2023-12-30,186185428.04463637,LSTM
Missouri,4,2024-01-06,185422124.89557415,LSTM
Missouri,5,2024-01-13,184744603.5558715,LSTM
Missouri,6,2024-01-20,184134212.39096195,LSTM
Missouri,7,2024-01-27,183579683.30002394,LSTM
Missouri,8,2024-02-03,183074089.75720394,LSTM
Nebraska,1,2023-12-16,58700068.65262463,ARIMA
Nebraska,2,2023-12-23,56389299.36033693,ARIMA
Nebraska,3,2023-12-30,60456276.40946548,ARIMA
Nebraska,4,2024-01-06,63650141.89869273,ARIMA
Nebraska,5,2024-01-13,60411497.40113395,ARIMA
Nebraska,6,2024-01-20,56545429.377031654,ARIMA
Nebraska,7,2024-01-27,58820013.07931497,ARIMA
Nebraska,8,2024-02-03,63120984.657149345,ARIMA
Nevada,1,2023-12-16,103282608.57541548,LSTM
Nevada,2,2023-12-23,103863993.39579234,LSTM
Nevada,3,2023-12-30,104280986.44133729,LSTM
Nevada,4,2024-01-06,104687772.32439777,LSTM
Nevada,5,2024-01-13,105101348.12486058,LSTM
Nevada,6,2024-01-20,105524607.35785508,LSTM
Nevada,7,2024-01-27,105958140.61247696,LSTM
Nevada,8,2024-02-03,106401049.00469376,LSTM
New Hampshire,1,2023-12-16,57859007.004623696,LSTM
New Hampshire,2,2023-12-23,58429986.39945507,LSTM
New Hampshire,3,2023-12-30,58926793.033593796,LSTM
New Hampshire,4,2024-01-06,59390155.87422178,LSTM
New Hampshire,5,2024-01-13,59836728.421882346,LSTM
New Hampshire,6,2024-01-20,60275202.85803721,LSTM
