state,best_model,rmse,mae,ARIMA_rmse,ARIMA_mae,Prophet_rmse,Prophet_mae,XGBoost_rmse,XGBoost_mae,LSTM_rmse,LSTM_mae
Alabama,LSTM,16928884.25433409,15112636.47699887,41782931.90206625,40671466.981886655,70097197.69798408,68621920.7810778,55965538.14698621,47437738.13749999,16928884.25433409,15112636.47699887
Arizona,LSTM,7599590.252581725,5076634.529753599,41247263.25014785,40168601.54568428,66327888.92041851,64813347.906653635,54482860.100781,49179649.275,7599590.252581725,5076634.529753599
Arkansas,XGBoost,16070375.677897943,15298850.946874999,21840063.11127002,21301794.513383,35222646.58524658,34490517.26314093,16070375.677897943,15298850.946874999,24139305.861525264,23317573.79258646
California,LSTM,65394706.7619199,60943749.93183051,135438793.28429982,132494559.6934524,255795043.39873064,249932668.91062498,215081367.17859605,135442610.22187504,65394706.7619199,60943749.93183051
Colorado,LSTM,22878847.706081685,21868804.16313305,31869101.36049064,31086682.178523142,54572213.50112606,53454313.282935046,36092346.63867689,32488328.17812499,22878847.706081685,21868804.16313305
Connecticut,LSTM,10532346.308812322,9786962.486033913,18798494.583723348,18241433.576833915,28608287.024169147,27884020.86206738,27921519.239088953,27377717.684375003,10532346.308812322,9786962.486033913
Florida,LSTM,51737182.48303305,49761163.59099236,133714730.16633753,127330535.23032768,215566522.7550816,206053034.99566025,133693817.7633967,127565018.38125004,51737182.48303305,49761163.59099236
Georgia,LSTM,49076029.42499377,46818334.63495033,74488254.25597504,72514042.12985343,129212924.74577093,126434867.38714203,100959997.2974923,67190739.00625,49076029.42499377,46818334.63495033
Illinois,LSTM,19328659.99427987,13454892.021283172,55648395.358202614,53881486.69623731,93346613.27959202,90765029.79244536,93378948.13387169,80417561.77812505,19328659.99427987,13454892.021283172
Indiana,LSTM,7917130.238967814,4201955.365439527,41531360.53538117,40572608.863064155,72311899.41979519,70986800.63086343,89352998.09023896,71553960.890625,7917130.238967814,4201955.365439527
Iowa,LSTM,17613214.490825187,17009827.016580224,21635915.736152846,21301389.558936305,35121875.02682111,34658869.898760445,27102374.132016324,26033341.203125,17613214.490825187,17009827.016580224
Kansas,LSTM,3956208.0864147358,3382021.8874601014,17449526.956634138,17121780.255111974,27624748.368815634,27195594.769767955,30932066.910240553,22326647.646874994,3956208.0864147358,3382021.8874601014
